Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Pakistan,Maize,1996,15884,494.0,11955.0,22.61
Pakistan,Maize,1996,15884,494.0,11955.0,27.17
Pakistan,Maize,1996,15884,494.0,11955.0,22.61
Pakistan,Maize,1996,15884,494.0,11955.0,26.5
Pakistan,Maize,1996,15884,494.0,11955.0,24.43
Pakistan,Maize,1996,15884,494.0,11955.0,25.92
Pakistan,Maize,1996,15884,494.0,11955.0,18.72
Pakistan,Maize,1996,15884,494.0,11955.0,22.61
Pakistan,Maize,1997,16352,494.0,16936.0,23.76
Pakistan,Maize,1997,16352,494.0,16936.0,22.14
Pakistan,Maize,1997,16352,494.0,16936.0,26.82
Pakistan,Maize,1997,16352,494.0,16936.0,22.14
Pakistan,Maize,1997,16352,494.0,16936.0,26.29
Pakistan,Maize,1997,16352,494.0,16936.0,23.76
Pakistan,Maize,1997,16352,494.0,16936.0,25.16
Pakistan,Maize,1997,16352,494.0,16936.0,18.62
Pakistan,Maize,1997,16352,494.0,16936.0,22.14
Pakistan,Maize,1998,17853,494.0,18406.0,24.91
Pakistan,Maize,1998,17853,494.0,18406.0,23.11
Pakistan,Maize,1998,17853,494.0,18406.0,27.89
Pakistan,Maize,1998,17853,494.0,18406.0,23.11
Pakistan,Maize,1998,17853,494.0,18406.0,27.36
Pakistan,Maize,1998,17853,494.0,18406.0,24.91
Pakistan,Maize,1998,17853,494.0,18406.0,26.41
Pakistan,Maize,1998,17853,494.0,18406.0,19.15
Pakistan,Maize,1998,17853,494.0,18406.0,23.11
Pakistan,Maize,1999,17169,494.0,20450.0,25.5
Pakistan,Maize,1999,17169,494.0,20450.0,23.8
Pakistan,Maize,1999,17169,494.0,20450.0,27.54
Pakistan,Maize,1999,17169,494.0,20450.0,23.8
Pakistan,Maize,1999,17169,494.0,20450.0,27.14
Pakistan,Maize,1999,17169,494.0,20450.0,25.5
Pakistan,Maize,1999,17169,494.0,20450.0,26.8
Pakistan,Maize,1999,17169,494.0,20450.0,19.84
Pakistan,Maize,1999,17169,494.0,20450.0,23.8
Pakistan,Maize,2000,17086,494.0,27885.0,25.32
Pakistan,Maize,2000,17086,494.0,27885.0,23.6
Pakistan,Maize,2000,17086,494.0,27885.0,27.73
Pakistan,Maize,2000,17086,494.0,27885.0,23.6
Pakistan,Maize,2000,17086,494.0,27885.0,27.12
Pakistan,Maize,2000,17086,494.0,27885.0,25.32
Pakistan,Maize,2000,17086,494.0,27885.0,26.71
Pakistan,Maize,2000,17086,494.0,27885.0,19.68
Pakistan,Maize,2000,17086,494.0,27885.0,23.6
Pakistan,Maize,2001,17631,494.0,11871.0,25.18
Pakistan,Maize,2001,17631,494.0,11871.0,23.62
Pakistan,Maize,2001,17631,494.0,11871.0,27.7
Pakistan,Maize,2001,17631,494.0,11871.0,23.62
Pakistan,Maize,2001,17631,494.0,11871.0,27.28
Pakistan,Maize,2001,17631,494.0,11871.0,25.18
Pakistan,Maize,2001,17631,494.0,11871.0,26.5
Pakistan,Maize,2001,17631,494.0,11871.0,19.79
Pakistan,Maize,2001,17631,494.0,11871.0,23.62
Pakistan,Maize,2002,18448,494.0,10881.83,25.61
Pakistan,Maize,2002,18448,494.0,10881.83,23.83
Pakistan,Maize,2002,18448,494.0,10881.83,27.88
Pakistan,Maize,2002,18448,494.0,10881.83,23.83
Pakistan,Maize,2002,18448,494.0,10881.83,27.2
Pakistan,Maize,2002,18448,494.0,10881.83,25.61
Pakistan,Maize,2002,18448,494.0,10881.83,27.0
Pakistan,Maize,2002,18448,494.0,10881.83,19.7
Pakistan,Maize,2002,18448,494.0,10881.83,23.83
Pakistan,Maize,2004,28488,494.0,8903.48,25.55
Pakistan,Maize,2004,28488,494.0,8903.48,23.78
Pakistan,Maize,2004,28488,494.0,8903.48,27.94
Pakistan,Maize,2004,28488,494.0,8903.48,23.78
Pakistan,Maize,2004,28488,494.0,8903.48,27.5
Pakistan,Maize,2004,28488,494.0,8903.48,25.55
Pakistan,Maize,2004,28488,494.0,8903.48,26.96
Pakistan,Maize,2004,28488,494.0,8903.48,19.93
Pakistan,Maize,2004,28488,494.0,8903.48,23.78
Pakistan,Maize,2005,29843,494.0,7914.31,24.66
Pakistan,Maize,2005,29843,494.0,7914.31,22.8
Pakistan,Maize,2005,29843,494.0,7914.31,27.21
Pakistan,Maize,2005,29843,494.0,7914.31,22.8
Pakistan,Maize,2005,29843,494.0,7914.31,26.8
Pakistan,Maize,2005,29843,494.0,7914.31,24.66
Pakistan,Maize,2005,29843,494.0,7914.31,26.04
Pakistan,Maize,2005,29843,494.0,7914.31,18.75
Pakistan,Maize,2005,29843,494.0,7914.31,22.8
Pakistan,Maize,2006,30368,494.0,6925.13,25.17
Pakistan,Maize,2006,30368,494.0,6925.13,23.28
Pakistan,Maize,2006,30368,494.0,6925.13,27.29
Pakistan,Maize,2006,30368,494.0,6925.13,23.28
Pakistan,Maize,2006,30368,494.0,6925.13,26.73
Pakistan,Maize,2006,30368,494.0,6925.13,25.17
Pakistan,Maize,2006,30368,494.0,6925.13,26.46
Pakistan,Maize,2006,30368,494.0,6925.13,19.53
Pakistan,Maize,2006,30368,494.0,6925.13,23.28
Pakistan,Maize,2007,34265,494.0,5935.96,25.16
Pakistan,Maize,2007,34265,494.0,5935.96,23.33
Pakistan,Maize,2007,34265,494.0,5935.96,27.69
Pakistan,Maize,2007,34265,494.0,5935.96,23.33
Pakistan,Maize,2007,34265,494.0,5935.96,27.21
Pakistan,Maize,2007,34265,494.0,5935.96,25.16
Pakistan,Maize,2007,34265,494.0,5935.96,26.53
Pakistan,Maize,2007,34265,494.0,5935.96,19.5
Pakistan,Maize,2007,34265,494.0,5935.96,23.33
Pakistan,Maize,2008,34154,494.0,4946.79,24.89
Pakistan,Maize,2008,34154,494.0,4946.79,23.21
Pakistan,Maize,2008,34154,494.0,4946.79,27.23
Pakistan,Maize,2008,34154,494.0,4946.79,23.21
Pakistan,Maize,2008,34154,494.0,4946.79,26.74
Pakistan,Maize,2008,34154,494.0,4946.79,24.89
Pakistan,Maize,2008,34154,494.0,4946.79,26.33
Pakistan,Maize,2008,34154,494.0,4946.79,19.34
Pakistan,Maize,2008,34154,494.0,4946.79,23.21
Pakistan,Maize,2009,34879,494.0,3957.61,25.37
Pakistan,Maize,2009,34879,494.0,3957.61,23.62
Pakistan,Maize,2009,34879,494.0,3957.61,27.88
Pakistan,Maize,2009,34879,494.0,3957.61,23.62
Pakistan,Maize,2009,34879,494.0,3957.61,27.41
Pakistan,Maize,2009,34879,494.0,3957.61,25.37
Pakistan,Maize,2009,34879,494.0,3957.61,26.68
Pakistan,Maize,2009,34879,494.0,3957.61,19.3
Pakistan,Maize,2009,34879,494.0,3957.61,23.62
Pakistan,Maize,2010,38052,494.0,2968.44,25.48
Pakistan,Maize,2010,38052,494.0,2968.44,23.75
Pakistan,Maize,2010,38052,494.0,2968.44,28.0
Pakistan,Maize,2010,38052,494.0,2968.44,23.75
Pakistan,Maize,2010,38052,494.0,2968.44,27.45
Pakistan,Maize,2010,38052,494.0,2968.44,25.48
Pakistan,Maize,2010,38052,494.0,2968.44,26.79
Pakistan,Maize,2010,38052,494.0,2968.44,19.52
Pakistan,Maize,2010,38052,494.0,2968.44,23.75
Pakistan,Maize,2011,39897,494.0,1979.27,24.98
Pakistan,Maize,2011,39897,494.0,1979.27,23.36
Pakistan,Maize,2011,39897,494.0,1979.27,27.41
Pakistan,Maize,2011,39897,494.0,1979.27,23.36
Pakistan,Maize,2011,39897,494.0,1979.27,27.02
Pakistan,Maize,2011,39897,494.0,1979.27,24.98
Pakistan,Maize,2011,39897,494.0,1979.27,26.32
Pakistan,Maize,2011,39897,494.0,1979.27,19.53
Pakistan,Maize,2011,39897,494.0,1979.27,23.36
Pakistan,Maize,2012,39830,494.0,990.09,24.87
Pakistan,Maize,2012,39830,494.0,990.09,23.1
Pakistan,Maize,2012,39830,494.0,990.09,27.23
Pakistan,Maize,2012,39830,494.0,990.09,23.1
Pakistan,Maize,2012,39830,494.0,990.09,26.75
Pakistan,Maize,2012,39830,494.0,990.09,24.87
Pakistan,Maize,2012,39830,494.0,990.09,26.11
Pakistan,Maize,2012,39830,494.0,990.09,18.74
Pakistan,Maize,2012,39830,494.0,990.09,23.1
Pakistan,Maize,2013,42313,494.0,0.92,25.95
Pakistan,Maize,2013,42313,494.0,0.92,24.27
Pakistan,Maize,2013,42313,494.0,0.92,27.9
Pakistan,Maize,2013,42313,494.0,0.92,24.27
Pakistan,Maize,2013,42313,494.0,0.92,27.21
Pakistan,Maize,2013,42313,494.0,0.92,25.95
Pakistan,Maize,2013,42313,494.0,0.92,27.38
Pakistan,Maize,2013,42313,494.0,0.92,19.98
Pakistan,Maize,2013,42313,494.0,0.92,24.27
Pakistan,Maize,2014,43211,494.0,4566.8,25.98
Pakistan,Maize,2014,43211,494.0,4566.8,24.3
Pakistan,Maize,2014,43211,494.0,4566.8,27.93
Pakistan,Maize,2014,43211,494.0,4566.8,24.3
Pakistan,Maize,2014,43211,494.0,4566.8,27.24
Pakistan,Maize,2014,43211,494.0,4566.8,25.98
Pakistan,Maize,2014,43211,494.0,4566.8,27.41
Pakistan,Maize,2014,43211,494.0,4566.8,20.01
Pakistan,Maize,2014,43211,494.0,4566.8,24.3
Pakistan,Maize,2015,44248,494.0,4243.4,26.01
Pakistan,Maize,2015,44248,494.0,4243.4,24.33
Pakistan,Maize,2015,44248,494.0,4243.4,27.96
Pakistan,Maize,2015,44248,494.0,4243.4,24.33
Pakistan,Maize,2015,44248,494.0,4243.4,27.27
Pakistan,Maize,2015,44248,494.0,4243.4,26.01
Pakistan,Maize,2015,44248,494.0,4243.4,27.44
Pakistan,Maize,2015,44248,494.0,4243.4,20.04
Pakistan,Maize,2015,44248,494.0,4243.4,24.33
Pakistan,Maize,2016,45491,494.0,3920.1,26.04
Pakistan,Maize,2016,45491,494.0,3920.1,24.36
Pakistan,Maize,2016,45491,494.0,3920.1,27.99
Pakistan,Maize,2016,45491,494.0,3920.1,24.36
Pakistan,Maize,2016,45491,494.0,3920.1,27.3
Pakistan,Maize,2016,45491,494.0,3920.1,26.04
Pakistan,Maize,2016,45491,494.0,3920.1,27.47
Pakistan,Maize,2016,45491,494.0,3920.1,20.07
Pakistan,Maize,2016,45491,494.0,3920.1,24.36
Pakistan,Maize,2017,47182,494.0,3596.7,26.07
Pakistan,Maize,2017,47182,494.0,3596.7,24.39
Pakistan,Maize,2017,47182,494.0,3596.7,28.02
Pakistan,Maize,2017,47182,494.0,3596.7,24.39
Pakistan,Maize,2017,47182,494.0,3596.7,27.33
Pakistan,Maize,2017,47182,494.0,3596.7,26.07
Pakistan,Maize,2017,47182,494.0,3596.7,27.5
Pakistan,Maize,2017,47182,494.0,3596.7,20.1
Pakistan,Maize,2017,47182,494.0,3596.7,24.39
Pakistan,Maize,2018,49685,494.0,3273.3,26.1
Pakistan,Maize,2018,49685,494.0,3273.3,24.42
Pakistan,Maize,2018,49685,494.0,3273.3,28.05
Pakistan,Maize,2018,49685,494.0,3273.3,24.42
Pakistan,Maize,2018,49685,494.0,3273.3,27.36
Pakistan,Maize,2018,49685,494.0,3273.3,26.1
Pakistan,Maize,2018,49685,494.0,3273.3,27.53
Pakistan,Maize,2018,49685,494.0,3273.3,20.13
Pakistan,Maize,2018,49685,494.0,3273.3,24.42
Pakistan,Maize,2019,56140,494.0,2949.9,26.13
Pakistan,Maize,2019,56140,494.0,2949.9,24.45
Pakistan,Maize,2019,56140,494.0,2949.9,28.08
Pakistan,Maize,2019,56140,494.0,2949.9,24.45
Pakistan,Maize,2019,56140,494.0,2949.9,27.39
Pakistan,Maize,2019,56140,494.0,2949.9,26.13
Pakistan,Maize,2019,56140,494.0,2949.9,27.56
Pakistan,Maize,2019,56140,494.0,2949.9,20.16
Pakistan,Maize,2019,56140,494.0,2949.9,24.45
Pakistan,Maize,2020,63054,494.0,2626.5,26.16
Pakistan,Maize,2020,63054,494.0,2626.5,24.48
Pakistan,Maize,2020,63054,494.0,2626.5,28.11
Pakistan,Maize,2020,63054,494.0,2626.5,24.48
Pakistan,Maize,2020,63054,494.0,2626.5,27.42
Pakistan,Maize,2020,63054,494.0,2626.5,26.16
Pakistan,Maize,2020,63054,494.0,2626.5,27.59
Pakistan,Maize,2020,63054,494.0,2626.5,20.19
Pakistan,Maize,2020,63054,494.0,2626.5,24.48
Pakistan,Maize,2021,57637,494.0,2303.1,26.19
Pakistan,Maize,2021,57637,494.0,2303.1,24.51
Pakistan,Maize,2021,57637,494.0,2303.1,28.14
Pakistan,Maize,2021,57637,494.0,2303.1,24.51
Pakistan,Maize,2021,57637,494.0,2303.1,27.45
Pakistan,Maize,2021,57637,494.0,2303.1,26.19
Pakistan,Maize,2021,57637,494.0,2303.1,27.62
Pakistan,Maize,2021,57637,494.0,2303.1,20.22
Pakistan,Maize,2021,57637,494.0,2303.1,24.51
Pakistan,Maize,2022,63886,494.0,1979.8,26.22
Pakistan,Maize,2022,63886,494.0,1979.8,24.54
Pakistan,Maize,2022,63886,494.0,1979.8,28.17
Pakistan,Maize,2022,63886,494.0,1979.8,24.54
Pakistan,Maize,2022,63886,494.0,1979.8,27.48
Pakistan,Maize,2022,63886,494.0,1979.8,26.22
Pakistan,Maize,2022,63886,494.0,1979.8,27.65
Pakistan,Maize,2022,63886,494.0,1979.8,20.25
Pakistan,Maize,2022,63886,494.0,1979.8,24.54
Pakistan,Maize,2023,59335,494.0,1656.4,26.25
Pakistan,Maize,2023,59335,494.0,1656.4,24.57
Pakistan,Maize,2023,59335,494.0,1656.4,28.2
Pakistan,Maize,2023,59335,494.0,1656.4,24.57
Pakistan,Maize,2023,59335,494.0,1656.4,27.51
Pakistan,Maize,2023,59335,494.0,1656.4,26.25
Pakistan,Maize,2023,59335,494.0,1656.4,27.68
Pakistan,Maize,2023,59335,494.0,1656.4,20.28
Pakistan,Maize,2023,59335,494.0,1656.4,24.57
Pakistan,Maize,2024,61333,494.0,1333.0,26.28
Pakistan,Maize,2024,61333,494.0,1333.0,24.6
Pakistan,Maize,2024,61333,494.0,1333.0,28.23
Pakistan,Maize,2024,61333,494.0,1333.0,24.6
Pakistan,Maize,2024,61333,494.0,1333.0,27.54
Pakistan,Maize,2024,61333,494.0,1333.0,26.28
Pakistan,Maize,2024,61333,494.0,1333.0,27.71
Pakistan,Maize,2024,61333,494.0,1333.0,20.31
Pakistan,Maize,2024,61333,494.0,1333.0,24.6
Pakistan,Maize,2025,62216,494.0,1009.6,26.31
Pakistan,Maize,2025,62216,494.0,1009.6,24.63
Pakistan,Maize,2025,62216,494.0,1009.6,28.26
Pakistan,Maize,2025,62216,494.0,1009.6,24.63
Pakistan,Maize,2025,62216,494.0,1009.6,27.57
Pakistan,Maize,2025,62216,494.0,1009.6,26.31
Pakistan,Maize,2025,62216,494.0,1009.6,27.74
Pakistan,Maize,2025,62216,494.0,1009.6,20.34
Pakistan,Maize,2025,62216,494.0,1009.6,24.63
Pakistan,Maize,2026,63801,494.0,686.2,26.34
Pakistan,Maize,2026,63801,494.0,686.2,24.66
Pakistan,Maize,2026,63801,494.0,686.2,28.29
Pakistan,Maize,2026,63801,494.0,686.2,24.66
Pakistan,Maize,2026,63801,494.0,686.2,27.6
Pakistan,Maize,2026,63801,494.0,686.2,26.34
Pakistan,Maize,2026,63801,494.0,686.2,27.77
Pakistan,Maize,2026,63801,494.0,686.2,20.37
Pakistan,Maize,2026,63801,494.0,686.2,24.66
Pakistan,Potatoes,1990,104002,494.0,5299.0,24.81
Pakistan,Potatoes,1990,104002,494.0,5299.0,23.14
Pakistan,Potatoes,1990,104002,494.0,5299.0,27.0
Pakistan,Potatoes,1990,104002,494.0,5299.0,23.14
Pakistan,Potatoes,1990,104002,494.0,5299.0,26.39
Pakistan,Potatoes,1990,104002,494.0,5299.0,24.81
Pakistan,Potatoes,1990,104002,494.0,5299.0,26.23
Pakistan,Potatoes,1990,104002,494.0,5299.0,19.36
Pakistan,Potatoes,1990,104002,494.0,5299.0,23.14
Pakistan,Potatoes,1991,104452,494.0,5962.0,24.38
Pakistan,Potatoes,1991,104452,494.0,5962.0,22.48
Pakistan,Potatoes,1991,104452,494.0,5962.0,26.98
Pakistan,Potatoes,1991,104452,494.0,5962.0,22.48
Pakistan,Potatoes,1991,104452,494.0,5962.0,26.34
Pakistan,Potatoes,1991,104452,494.0,5962.0,24.38
Pakistan,Potatoes,1991,104452,494.0,5962.0,25.87
Pakistan,Potatoes,1991,104452,494.0,5962.0,18.48
Pakistan,Potatoes,1991,104452,494.0,5962.0,22.48
Pakistan,Potatoes,1992,113709,494.0,5518.0,24.31
Pakistan,Potatoes,1992,113709,494.0,5518.0,22.36
Pakistan,Potatoes,1992,113709,494.0,5518.0,26.91
Pakistan,Potatoes,1992,113709,494.0,5518.0,22.36
Pakistan,Potatoes,1992,113709,494.0,5518.0,26.36
Pakistan,Potatoes,1992,113709,494.0,5518.0,24.31
Pakistan,Potatoes,1992,113709,494.0,5518.0,25.71
Pakistan,Potatoes,1992,113709,494.0,5518.0,18.34
Pakistan,Potatoes,1992,113709,494.0,5518.0,22.36
Pakistan,Potatoes,1993,122809,494.0,4945.0,25.04
Pakistan,Potatoes,1993,122809,494.0,4945.0,23.08
Pakistan,Potatoes,1993,122809,494.0,4945.0,27.72
Pakistan,Potatoes,1993,122809,494.0,4945.0,23.08
Pakistan,Potatoes,1993,122809,494.0,4945.0,27.25
Pakistan,Potatoes,1993,122809,494.0,4945.0,25.04
Pakistan,Potatoes,1993,122809,494.0,4945.0,26.51
Pakistan,Potatoes,1993,122809,494.0,4945.0,18.91
Pakistan,Potatoes,1993,122809,494.0,4945.0,23.08
Pakistan,Potatoes,1994,133171,494.0,6183.0,24.78
Pakistan,Potatoes,1994,133171,494.0,6183.0,22.93
Pakistan,Potatoes,1994,133171,494.0,6183.0,26.87
Pakistan,Potatoes,1994,133171,494.0,6183.0,22.93
Pakistan,Potatoes,1994,133171,494.0,6183.0,26.36
Pakistan,Potatoes,1994,133171,494.0,6183.0,24.78
Pakistan,Potatoes,1994,133171,494.0,6183.0,26.13
Pakistan,Potatoes,1994,133171,494.0,6183.0,18.78
Pakistan,Potatoes,1994,133171,494.0,6183.0,22.93
Pakistan,Potatoes,1995,139418,494.0,7681.0,24.58
Pakistan,Potatoes,1995,139418,494.0,7681.0,22.61
Pakistan,Potatoes,1995,139418,494.0,7681.0,27.11
Pakistan,Potatoes,1995,139418,494.0,7681.0,22.61
Pakistan,Potatoes,1995,139418,494.0,7681.0,26.63
Pakistan,Potatoes,1995,139418,494.0,7681.0,24.58
Pakistan,Potatoes,1995,139418,494.0,7681.0,26.09
Pakistan,Potatoes,1995,139418,494.0,7681.0,18.68
Pakistan,Potatoes,1995,139418,494.0,7681.0,22.61
Pakistan,Potatoes,1996,134795,494.0,11955.0,24.43
Pakistan,Potatoes,1996,134795,494.0,11955.0,22.61
Pakistan,Potatoes,1996,134795,494.0,11955.0,27.17
Pakistan,Potatoes,1996,134795,494.0,11955.0,22.61
Pakistan,Potatoes,1996,134795,494.0,11955.0,26.5
Pakistan,Potatoes,1996,134795,494.0,11955.0,24.43
Pakistan,Potatoes,1996,134795,494.0,11955.0,25.92
Pakistan,Potatoes,1996,134795,494.0,11955.0,18.72
Pakistan,Potatoes,1996,134795,494.0,11955.0,22.61
Pakistan,Potatoes,1997,112295,494.0,16936.0,23.76
Pakistan,Potatoes,1997,112295,494.0,16936.0,22.14
Pakistan,Potatoes,1997,112295,494.0,16936.0,26.82
Pakistan,Potatoes,1997,112295,494.0,16936.0,22.14
Pakistan,Potatoes,1997,112295,494.0,16936.0,26.29
Pakistan,Potatoes,1997,112295,494.0,16936.0,23.76
Pakistan,Potatoes,1997,112295,494.0,16936.0,25.16
Pakistan,Potatoes,1997,112295,494.0,16936.0,18.62
Pakistan,Potatoes,1997,112295,494.0,16936.0,22.14
Pakistan,Potatoes,1998,136186,494.0,18406.0,24.91
Pakistan,Potatoes,1998,136186,494.0,18406.0,23.11
Pakistan,Potatoes,1998,136186,494.0,18406.0,27.89
Pakistan,Potatoes,1998,136186,494.0,18406.0,23.11
Pakistan,Potatoes,1998,136186,494.0,18406.0,27.36
Pakistan,Potatoes,1998,136186,494.0,18406.0,24.91
Pakistan,Potatoes,1998,136186,494.0,18406.0,26.41
Pakistan,Potatoes,1998,136186,494.0,18406.0,19.15
Pakistan,Potatoes,1998,136186,494.0,18406.0,23.11
Pakistan,Potatoes,1999,165413,494.0,20450.0,25.5
Pakistan,Potatoes,1999,165413,494.0,20450.0,23.8
Pakistan,Potatoes,1999,165413,494.0,20450.0,27.54
Pakistan,Potatoes,1999,165413,494.0,20450.0,23.8
Pakistan,Potatoes,1999,165413,494.0,20450.0,27.14
Pakistan,Potatoes,1999,165413,494.0,20450.0,25.5
Pakistan,Potatoes,1999,165413,494.0,20450.0,26.8
Pakistan,Potatoes,1999,165413,494.0,20450.0,19.84
Pakistan,Potatoes,1999,165413,494.0,20450.0,23.8
Pakistan,Potatoes,2000,169078,494.0,27885.0,25.32
Pakistan,Potatoes,2000,169078,494.0,27885.0,23.6
Pakistan,Potatoes,2000,169078,494.0,27885.0,27.73
Pakistan,Potatoes,2000,169078,494.0,27885.0,23.6
Pakistan,Potatoes,2000,169078,494.0,27885.0,27.12
Pakistan,Potatoes,2000,169078,494.0,27885.0,25.32
Pakistan,Potatoes,2000,169078,494.0,27885.0,26.71
Pakistan,Potatoes,2000,169078,494.0,27885.0,19.68
Pakistan,Potatoes,2000,169078,494.0,27885.0,23.6
Pakistan,Potatoes,2001,164180,494.0,11871.0,25.18
Pakistan,Potatoes,2001,164180,494.0,11871.0,23.62
Pakistan,Potatoes,2001,164180,494.0,11871.0,27.7
Pakistan,Potatoes,2001,164180,494.0,11871.0,23.62
Pakistan,Potatoes,2001,164180,494.0,11871.0,27.28
Pakistan,Potatoes,2001,164180,494.0,11871.0,25.18
Pakistan,Potatoes,2001,164180,494.0,11871.0,26.5
Pakistan,Potatoes,2001,164180,494.0,11871.0,19.79
Pakistan,Potatoes,2001,164180,494.0,11871.0,23.62
Pakistan,Potatoes,2002,164486,494.0,10881.83,25.61
Pakistan,Potatoes,2002,164486,494.0,10881.83,23.83
Pakistan,Potatoes,2002,164486,494.0,10881.83,27.88
Pakistan,Potatoes,2002,164486,494.0,10881.83,23.83
Pakistan,Potatoes,2002,164486,494.0,10881.83,27.2
Pakistan,Potatoes,2002,164486,494.0,10881.83,25.61
Pakistan,Potatoes,2002,164486,494.0,10881.83,27.0
Pakistan,Potatoes,2002,164486,494.0,10881.83,19.7
Pakistan,Potatoes,2002,164486,494.0,10881.83,23.83
Pakistan,Potatoes,2004,176673,494.0,8903.48,25.55
Pakistan,Potatoes,2004,176673,494.0,8903.48,23.78
Pakistan,Potatoes,2004,176673,494.0,8903.48,27.94
Pakistan,Potatoes,2004,176673,494.0,8903.48,23.78
Pakistan,Potatoes,2004,176673,494.0,8903.48,27.5
Pakistan,Potatoes,2004,176673,494.0,8903.48,25.55
Pakistan,Potatoes,2004,176673,494.0,8903.48,26.96
Pakistan,Potatoes,2004,176673,494.0,8903.48,19.93
Pakistan,Potatoes,2004,176673,494.0,8903.48,23.78
Pakistan,Potatoes,2005,180795,494.0,7914.31,24.66
Pakistan,Potatoes,2005,180795,494.0,7914.31,22.8
Pakistan,Potatoes,2005,180795,494.0,7914.31,27.21
Pakistan,Potatoes,2005,180795,494.0,7914.31,22.8
Pakistan,Potatoes,2005,180795,494.0,7914.31,26.8
Pakistan,Potatoes,2005,180795,494.0,7914.31,24.66
Pakistan,Potatoes,2005,180795,494.0,7914.31,26.04
Pakistan,Potatoes,2005,180795,494.0,7914.31,18.75
Pakistan,Potatoes,2005,180795,494.0,7914.31,22.8
Pakistan,Potatoes,2006,133447,494.0,6925.13,25.17
Pakistan,Potatoes,2006,133447,494.0,6925.13,23.28
Pakistan,Potatoes,2006,133447,494.0,6925.13,27.29
Pakistan,Potatoes,2006,133447,494.0,6925.13,23.28
Pakistan,Potatoes,2006,133447,494.0,6925.13,26.73
Pakistan,Potatoes,2006,133447,494.0,6925.13,25.17
Pakistan,Potatoes,2006,133447,494.0,6925.13,26.46
Pakistan,Potatoes,2006,133447,494.0,6925.13,19.53
Pakistan,Potatoes,2006,133447,494.0,6925.13,23.28
Pakistan,Potatoes,2007,193516,494.0,5935.96,25.16
Pakistan,Potatoes,2007,193516,494.0,5935.96,23.33
