"N","P","K","temperature","humidity","ph","rainfall","label"
"74","47","43","20.9","80.94","6.01","232.86","rice"
"82","56","39","23.07","84.51","6.66","205.86","rice"
"75","52","40","23.79","82.6","7.25","278.25","rice"
"89","44","42","21.7","81.29","6.07","217.39","rice"
"82","35","43","21.97","80.98","5.63","261.72","rice"
"82","47","40","24.12","80.12","6.99","182.56","rice"
"99","51","41","21.64","81.11","6.42","195.91","rice"
"60","46","45","23.03","83.22","6.22","275.81","rice"
"92","54","45","21.81","80.86","5.65","277.05","rice"
"74","52","43","26.93","84.5","6.22","192.61","rice"
"82","42","42","23","83.09","7.09","228.28","rice"
"90","41","41","24.21","80.12","6.66","238.08","rice"
"63","58","36","23.89","81.04","6.48","256.07","rice"
"87","50","42","24.86","84.49","7.44","257.17","rice"
"80","46","42","21.25","80.17","6.42","206.67","rice"
"63","35","42","24.43","80.12","6.61","248.1","rice"
"80","42","38","26.93","81.24","5.45","269.72","rice"
"63","48","43","26.93","82.82","6.98","233.25","rice"
"68","39","45","26.08","80.16","7.31","225.69","rice"
"78","43","38","22.11","81.14","6.36","250.9","rice"
"84","48","44","24.03","81.94","5.01","284.65","rice"
"92","44","38","23.29","82.06","6.84","182.56","rice"
"95","47","38","25.24","83.76","6.4","253.46","rice"
"84","51","38","23.66","83.35","5.79","229.66","rice"
"88","41","40","21.09","82.26","6.06","182.56","rice"
"93","60","45","25.63","82.94","6.81","222.71","rice"
"83","35","41","20.05","81.29","6.05","242.18","rice"
"62","47","39","25.89","80.53","6.33","215.77","rice"
"65","35","40","22.5","80.12","6.71","182.56","rice"
"88","38","38","22.48","84.97","5.19","267.14","rice"
"84","54","43","21.5","84.01","5.64","270.1","rice"
"74","45","36","23.28","84.69","7.21","228.09","rice"
"90","53","39","22.37","84.53","6.77","266.09","rice"
"60","45","41","22","83.09","7.85","223.69","rice"
"82","52","38","25.92","82.2","6.63","213.9","rice"
"89","46","40","23.93","81.29","7.15","213.84","rice"
"99","46","38","21.29","83.4","6.3","191.78","rice"
"74","50","42","26.93","80.69","6.97","209.41","rice"
"90","46","42","24.79","81.39","5.94","199.35","rice"
"77","51","38","25.9","82.79","5.59","182.56","rice"
"76","36","40","21.3","82.72","7.63","207.63","rice"
"82","37","44","22.12","84.43","6.99","258.49","rice"
"98","57","42","22.08","83","6.52","252.58","rice"
"85","45","37","22.77","81.54","6.35","182.56","rice"
"89","39","35","23.23","80.72","7.03","293.38","rice"
"77","43","45","26.62","83.72","7.8","246.34","rice"
"73","45","37","26.93","82.16","6.38","217.58","rice"
"80","46","40","23.32","83.33","7.21","233.18","rice"
"78","52","38","24.88","81.85","7.87","246.92","rice"
"81","52","36","24.73","81.12","5.97","182.56","rice"
"74","40","37","24.98","82.11","5.87","260.06","rice"
"89","40","39","22.64","82.78","6.39","197.11","rice"
"67","60","42","24.54","82.94","5.01","265.89","rice"
"74","46","35","24.71","81.49","5.76","236.06","rice"
"77","53","42","26.63","81.71","6.97","216.18","rice"
"77","60","41","23.47","82.52","6.97","183.53","rice"
"85","43","45","21.8","82.89","5.01","288.61","rice"
"73","41","39","25.27","81.57","6.33","197.18","rice"
"60","47","38","21.84","80.12","5.83","251.9","rice"
"87","40","41","26.93","82.25","6.38","298.56","rice"
"98","51","38","25.57","81.62","6.66","220.62","rice"
"84","36","42","24.33","80.49","6.8","237.08","rice"
"84","47","38","21.59","83.27","6.73","279.58","rice"
"83","60","41","21.7","82.43","7.74","230.82","rice"
"80","35","38","26.19","80.69","6.16","281.56","rice"
"72","35","45","20.67","84.82","5.33","263.52","rice"
"74","48","38","26.93","84.6","6.18","216.57","rice"
"85","60","36","20.05","83.06","7.87","273.01","rice"
"75","55","40","24.98","82.33","6.01","247.4","rice"
"60","43","40","21.63","80.12","5.63","278.68","rice"
"99","60","35","26.77","84.07","6.91","209.7","rice"
"70","51","44","23.68","80.91","6.28","271.89","rice"
"92","41","45","21.62","80.98","6.06","217.88","rice"
"69","52","36","25.95","82.46","7.22","223.36","rice"
"71","46","39","23.21","84.06","6.24","263.58","rice"
"65","46","42","23.27","80.84","6.29","234.11","rice"
"88","60","39","24.17","82.92","6.73","216.36","rice"
"93","48","40","20.46","80.79","6.38","252.89","rice"
"60","57","44","25.22","83.03","7.19","238.09","rice"
"96","55","40","22.45","82.03","5.36","265.34","rice"
"79","36","39","23.49","82.78","6.54","283.65","rice"
"70","54","41","26.06","81.8","6.9","211.54","rice"
"65","51","44","24.03","83.07","5.75","214.96","rice"
"81","37","39","23.69","82","7.55","196.13","rice"
"79","43","40","24.04","83.67","6.49","231.11","rice"
"62","59","40","26.93","82.45","6.38","267.39","rice"
"82","42","38","21.05","81.64","6.64","221.08","rice"
"60","57","40","24.26","80.24","7.8","182.56","rice"
"72","35","35","24.6","81.7","5.36","212.49","rice"
"74","37","43","22.38","80.26","6.55","214.81","rice"
"83","43","38","23.84","84.52","5.98","238.81","rice"
"87","42","38","25.1","82.38","6.47","182.56","rice"
"73","52","35","22.38","82.12","6.65","261.51","rice"
"95","42","43","23.38","80.43","5.91","208.45","rice"
"78","49","44","21.35","84.97","6.83","262.98","rice"
"87","43","41","20.17","81.57","7.53","217.25","rice"
"76","41","43","25.5","80.97","7.01","264.18","rice"
"87","50","39","24.71","82.42","6.9","268.49","rice"
"92","51","42","23.78","80.63","6.94","189.53","rice"
"89","47","42","26.93","83.12","7.71","192.4","rice"
"67","53","44","23.49","81.22","7.79","267.41","rice"
"82","42","38","22.45","81.17","6.82","286.22","rice"
"84","47","40","26.93","81.61","5.15","229.35","rice"
"80","35","39","23.03","82.2","6.45","249.01","rice"
"66","59","41","23.06","80.87","6.96","187.73","rice"
"75","41","35","23.62","80.18","6.93","231.58","rice"
"72","46","36","21.94","82.62","5.78","243.26","rice"
"70","40","38","22.3","81.3","5.72","213.43","rice"
"60","52","41","22.26","84.97","6.17","238.8","rice"
"77","50","39","23.77","80.12","6.41","206.33","rice"
"82","47","45","25.33","82.4","6.82","191.97","rice"
"99","60","43","22.11","84.7","5.36","227.45","rice"
"71","35","35","20.05","82.04","5.97","260.21","rice"
"89","49","39","23.65","83.14","5.92","267.76","rice"
"70","60","35","22.74","80.12","6.28","277.36","rice"
"85","35","36","21.02","81.2","5.41","182.77","rice"
"91","42","38","25.87","80.12","7.87","185.87","rice"
"69","43","38","25.85","84.12","6.25","279","rice"
"94","42","43","22.6","83.79","7.87","298.56","rice"
"90","44","39","24.84","82.07","5.45","241.08","rice"
"86","53","42","20.05","81.1","7.05","253.53","rice"
"70","40","36","20.05","83.56","6.68","225.59","rice"
"75","49","36","25.41","81.92","7.4","253.37","rice"
"82","46","43","20.57","83.26","5.48","253.61","rice"
"82","54","39","22.52","82.63","5.87","263.5","rice"
"94","60","44","23.99","82.26","6.66","192.52","rice"
"74","52","42","23.77","82.83","6.96","236.82","rice"
"60","43","39","23.83","82.7","5.87","278.61","rice"
"89","57","41","26.93","81.32","5.34","237.28","rice"
"77","44","42","24.97","81.62","7.09","292.29","rice"
"74","41","38","25.09","83.91","5.9","233.85","rice"
"72","51","45","20.85","83.08","6.11","265.54","rice"
"87","58","43","24.7","80.84","6.23","225.35","rice"
"60","51","42","22.25","81.37","6.42","282.53","rice"
"99","54","41","24.51","80.7","5.01","265.46","rice"
"75","46","37","21.11","84.22","7.85","258.6","rice"
"99","45","40","25.79","82.16","5.88","278.56","rice"
"79","51","41","23.37","81.92","5.96","241.89","rice"
"70","57","45","21.22","83.4","7.43","248.51","rice"
"82","56","38","23.06","80.79","7.1","238.31","rice"
"88","43","37","24.24","82.42","6.05","275.39","rice"
"71","58","38","21.97","83.74","6.85","240.21","rice"
"96","53","37","22.96","81.74","6.97","258.06","rice"
"82","37","39","21.55","82.65","7.04","265.35","rice"
"87","50","42","24.06","82.67","6.66","250.01","rice"
"95","49","41","24.19","81.26","7.22","182.56","rice"
"86","50","37","26.05","84.06","5.59","214.47","rice"
"85","42","44","22.5","81.59","7.4","256.5","rice"
"93","53","39","22.99","80.27","6.3","265.44","rice"
"76","55","44","25.02","83.93","5.31","252.21","rice"
"91","50","36","21.9","81.83","6.03","197.82","rice"
"83","60","36","24.53","80.12","6.27","188.58","rice"
"78","49","43","24.72","80.88","7.6","182.56","rice"
"77","60","45","22.12","83.34","7","196.8","rice"
"89","39","42","22.56","82.53","6.47","258.77","rice"
"78","48","35","23.51","81.86","5.39","217.6","rice"
"71","48","38","22.89","81.65","6.19","213.78","rice"
"74","46","38","26.19","83.29","5.66","228.55","rice"
"97","55","37","22.93","80.23","5.01","264.74","rice"
"82","41","39","23.68","82.01","7.11","258.23","rice"
"84","49","41","25.04","80.12","6.99","268.28","rice"
"92","41","45","24.68","83.42","6.89","294.38","rice"
"68","35","42","24.09","83.05","6.34","182.56","rice"
"72","55","39","24.2","82.64","7.55","206.76","rice"
"60","55","35","23.3","83.26","5.4","231.74","rice"
"60","54","40","23.87","82.82","7.46","247.3","rice"
"69","50","41","25.17","81.85","5.62","228.54","rice"
"72","57","36","25.51","82.19","6.38","202.65","rice"
"87","44","40","20.98","82.48","6.33","269.61","rice"
"72","42","37","24.56","83.9","6.77","232.15","rice"
"80","58","35","26.93","81.26","7.02","197.19","rice"
"73","49","43","22.39","83.56","6.08","232.52","rice"
"85","58","40","22.62","82.74","6.64","258.69","rice"
"86","47","35","21.44","81.42","5.01","220.21","rice"
"74","58","38","23.23","80.12","5.37","182.56","rice"
"76","35","41","26.25","81.37","6.28","201.86","rice"
"76","60","39","24.02","83.85","5.84","224.12","rice"
"82","37","37","22.58","84.97","5.84","220.43","rice"
"82","45","40","23.52","81.99","6.28","209.05","rice"
"68","56","42","21.41","83.62","5.7","228.53","rice"
"77","50","45","21.92","82.36","6.66","183.53","rice"
"86","45","42","24.34","80.6","7.34","223.08","rice"
"82","54","45","24.95","81.19","6.6","261.75","rice"
"85","35","42","22.72","83.31","7.04","210.16","rice"
"90","41","38","26.35","80.22","6.61","199.64","rice"
"73","48","40","24.18","84.63","7.23","243.64","rice"
"99","51","38","26.13","81.06","5.37","221.08","rice"
"76","59","42","25.03","82.77","6.22","182.56","rice"
"77","48","41","23.4","80.41","6.36","298.56","rice"
"62","51","36","22.84","80.82","6.44","225.21","rice"
"70","51","43","25.69","83.09","6.64","235.63","rice"
"99","44","40","26.25","82.5","6.68","224.11","rice"
"74","56","39","26.93","82.94","7.28","182.8","rice"
"90","49","45","23.62","80.82","6.65","288.05","rice"
"72","47","44","25.21","80.41","5.84","249.06","rice"
"74","46","42","23.72","80.18","6.92","294.15","rice"
"85","48","44","22.12","83.32","6.61","247.11","rice"
"72","52","43","22.86","81.98","5.74","229.24","rice"
"78","54","41","23.35","81.47","5.76","260.1","rice"
"84","52","44","23.42","80.6","6.66","268.49","rice"
"80","52","35","25.15","82.74","5.42","185.19","rice"
"60","47","44","23","83.37","6.76","281.22","rice"
"99","58","41","25.96","81.61","6.58","199.78","rice"
"78","47","39","26.93","81.28","6.88","205.73","rice"
"79","48","36","21.57","81.11","6.9","208.59","rice"
"78","44","35","25.83","81.97","6.92","209.77","rice"
"82","59","42","23.95","81.38","5.92","215.63","rice"
"99","48","40","20.91","82.08","7.87","215.54","rice"
"99","51","39","25.59","83.15","7.87","188.09","rice"
"70","36","40","24.85","82.49","5.55","182.56","rice"
"89","45","37","23.51","80.12","5.68","257.04","rice"
"70","42","43","25.46","80.36","5.01","218.57","rice"
"87","35","45","25.26","83","6.39","220.45","rice"
"78","49","37","24.76","80.85","6.07","269.07","rice"
"83","38","37","22.22","82.17","7.15","222.98","rice"
"85","51","43","24.7","81.75","6.75","254.94","rice"
"64","46","36","26.63","80.27","5.45","261.59","rice"
"83","51","41","26.62","80.12","6.96","277.72","rice"
"87","50","37","22.86","80.44","6.67","198.42","rice"
"73","50","38","22.95","82.62","5.49","233.82","rice"
"87","41","41","24.69","83.15","6.79","282.24","rice"
"67","52","41","26.03","81.63","5.92","204.03","rice"
"86","47","38","20.27","82.18","6.25","232.69","rice"
"75","46","39","23.73","82.45","7.81","213.26","rice"
"78","51","41","26.52","84.24","5.01","264.1","rice"
"84","53","38","20.05","81.21","7.22","280.66","rice"
"84","47","41","23.32","81.35","7.05","194.35","rice"
"84","54","45","24.5","81.18","6.03","259.19","rice"
"67","60","42","21.55","81.66","5.33","198.91","rice"
"80","40","38","22.72","80.34","5.34","270.14","rice"
"70","49","42","23.39","84.31","7.87","290.88","rice"
"75","39","42","21.02","82.84","7.14","212.23","rice"
"85","60","36","22.9","82.97","6.62","298.56","rice"
"79","49","41","22.13","82.92","7.28","216.53","rice"
"71","35","45","21.08","84.35","6.91","233.27","rice"
"78","52","41","26.93","84.04","6.92","255.4","rice"
"73","50","37","26.93","82.86","7.06","204.43","rice"
"69","43","36","22.62","81.43","5.98","219.23","rice"
"77","57","42","22.97","81.63","6.86","231.16","rice"
"62","60","41","24.88","82.79","7.02","279.6","rice"
"86","43","39","26.93","84.03","6.71","250.5","rice"
"75","56","38","20.05","83.58","6.92","262.78","rice"
"94","51","36","26.93","83.47","5.99","209.41","rice"
"72","52","40","24.25","83.16","5.51","266.62","rice"
"82","44","42","23.78","82.56","7.48","245.52","rice"
"72","40","37","23.44","81.6","5.8","286.37","rice"
"79","37","45","22.69","80.68","6.98","269.32","rice"
"81","53","41","23.82","82.99","6.59","201.28","rice"
"60","53","39","25.21","82.42","5.89","247.71","rice"
"83","50","37","26.51","82.47","7.18","219.33","rice"
"76","41","44","22.7","82.07","5.16","243.18","rice"
"67","40","41","24.06","83.01","6.85","278.53","rice"
"75","60","41","22.52","83.74","6.65","230.21","rice"
"74","42","41","21.56","83.09","6.57","279.82","rice"
"87","50","37","26.12","83.62","7.87","249.33","rice"
"79","46","45","26.21","80.12","6.03","245.58","rice"
"64","46","44","21.47","81.67","7.55","214.97","rice"
"73","35","38","25.4","82.51","7.3","214.23","rice"
"76","60","35","22.97","84.02","6.35","298.56","rice"
"65","60","38","24.75","84.76","5.44","223.25","rice"
"95","43","35","25.5","82.19","7.87","284.99","rice"
"68","41","40","24.35","82.63","7.03","198.51","rice"
"85","45","38","22.33","81.6","6.8","237.3","rice"
"99","46","44","21.06","83.62","6.96","286.06","rice"
"72","42","42","23.95","81.88","7.2","248.64","rice"
"86","53","44","20.05","84.03","6.51","217.4","rice"
"76","52","43","25.9","81.48","7.53","205.47","rice"
"81","39","38","21.87","82.11","6.25","269.5","rice"
"88","42","38","22.37","80.9","6.73","260.23","rice"
"78","35","37","25.67","84.77","5.94","204.42","rice"
"67","60","35","26.14","81.54","5.91","215.74","rice"
"90","57","42","25.77","83.66","6.15","209.93","rice"
"73","52","42","21.14","82.97","6.5","283.37","rice"
"72","57","35","22.03","83.32","5.5","212.07","rice"
"80","35","43","25.64","81.7","7.18","235.18","rice"
"93","60","41","26.25","80.35","5.58","199.54","rice"
"70","58","38","23.87","80.12","6.02","234.09","rice"
"75","57","38","24.56","80.12","7.51","281.38","rice"
"83","40","40","22.53","80.92","6.75","252.79","rice"
"60","48","43","24.05","82.86","6.64","212.54","rice"
"87","54","41","21.84","80.14","6.23","213.92","rice"
"86","55","37","24","80.89","5.94","208.32","rice"
"74","41","37","24.15","84.12","5.97","182.56","rice"
"80","44","39","24.66","81.54","6.48","203.8","rice"
"72","49","40","26.93","84.97","7.01","208.18","rice"
"87","57","40","26.59","80.6","6.15","186.64","rice"
"70","50","35","25","81.38","7.8","182.56","rice"
"96","51","45","23.27","80.12","7.6","239.91","rice"
"61","44","42","22.15","82.29","6.09","267.85","rice"
"60","48","37","23.2","82.42","6.36","262.55","rice"
"64","42","41","22.42","81.11","5.01","288.36","rice"
"63","35","43","25.35","80.12","6.01","200.45","rice"
"81","57","41","25.93","80.12","6.33","253","rice"
"75","49","39","23.76","82.96","6.41","186.08","rice"
"77","43","40","25.22","83.16","7.69","246.63","rice"
"81","39","43","20.65","81.39","6.01","257.83","rice"
"75","52","41","23.3","82.09","6.39","234.94","rice"
"60","35","45","23.76","80.84","6.13","261.81","rice"
"80","52","35","23.01","83.95","5.79","231.75","rice"
"68","54","41","20.05","83.53","6.29","296.2","rice"
"65","58","40","21.84","84.97","6.23","253.43","rice"
"87","48","42","23.29","83.4","6.83","298.56","rice"
"89","38","44","26.93","82.7","5.57","195.95","rice"
"76","38","38","25.39","81.95","6.64","247.47","rice"
"97","41","38","23.36","80.12","7.05","216.69","rice"
"76","59","41","24.96","81.13","6.56","211.61","rice"
"66","35","37","22.36","80.12","5.36","224.59","rice"
"74","52","38","25.15","81.85","6.89","228.4","rice"
"66","52","41","25.03","81.66","6.16","231.68","rice"
"90","52","37","25.59","81.32","6.39","186.01","rice"
"69","45","36","24.3","81.84","7.02","298.56","rice"
